"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072562","blood microparticle","38/1195","145/19979",0.262068965517241,4.38148607704516,10.3074768368831,4.66440914608756e-15,3.56827299675699e-12,3.56827299675699e-12,"IGKV1-39/SERPING1/IGHM/CFH/SERPINA3/IGLC1/IGKV4-1/ACTG2/C4B/IGLC3/HSPA6/IGKV1-17/IGHD/GSN/C4A/CFHR1/ACTC1/C3/IGHA2/C1R/C1QB/C1S/A2M/IGKC/HP/APOA1/HPR/IGLC2/IGKV1-5/CLU/IGHG3/PROS1/ENG/IGHV3-23/IGHA1/IGLV3-25/IGHG1/IGKV2D-28",38
"GO:0005614","interstitial matrix","30/1195","98/19979",0.306122448979592,5.11800870976005,10.307351896953,3.91977581693907e-14,1.4993142499792e-11,1.4993142499792e-11,"THBS4/COL11A1/COL6A1/MFAP5/THBS1/ASPN/COMP/FMOD/ELN/THBS2/COL14A1/TNC/EFEMP2/LTBP2/MFAP4/COL10A1/COL16A1/OMD/EMILIN1/FBLN5/COL6A2/DCN/COL8A2/LTBP3/LOXL1/SPOCK2/OGN/BGN/ECM2/PRELP",30
"GO:0140149","non-collagenous component of interstitial matrix","19/1195","44/19979",0.431818181818182,7.21949410422214,10.4169168120557,1.67744794198972e-12,4.27749225207379e-10,4.27749225207379e-10,"THBS4/COL6A1/MFAP5/THBS1/COMP/ELN/THBS2/EFEMP2/LTBP2/MFAP4/COL16A1/EMILIN1/FBLN5/COL6A2/DCN/COL8A2/LTBP3/LOXL1/BGN",19
"GO:0140151","solid phase of interstitial matrix","22/1195","64/19979",0.34375,5.74709728033473,9.59387113022478,7.26406431033837e-12,1.38925229935221e-09,1.38925229935221e-09,"THBS4/COL11A1/COL6A1/MFAP5/THBS1/COMP/ELN/THBS2/COL14A1/EFEMP2/LTBP2/MFAP4/COL10A1/COL16A1/EMILIN1/FBLN5/COL6A2/DCN/COL8A2/LTBP3/LOXL1/BGN",22
"GO:0042613","MHC class II protein complex","11/1195","17/19979",0.647058823529412,10.8180654688654,10.2144332815197,2.97147407829099e-10,4.54635533978521e-08,4.54635533978521e-08,"HLA-DQA2/HLA-DPB1/HLA-DPA1/HLA-DRB4/HLA-DRB5/HLA-DQB1/HLA-DQA1/HLA-DRA/CD74/HLA-DRB3/HLA-DRB1",11
"GO:0071953","elastic fiber","15/1195","37/19979",0.405405405405405,6.77790342643899,8.87263675641518,1.10616148504059e-09,1.39459732342806e-07,1.39459732342806e-07,"COL6A1/MFAP5/ELN/EFEMP2/LTBP2/MFAP4/COL16A1/EMILIN1/FBLN5/COL6A2/DCN/COL8A2/LTBP3/LOXL1/BGN",15
"GO:0005604","basement membrane","25/1195","103/19979",0.242718446601942,4.05796807084535,7.84789135436935,1.2761021260126e-09,1.39459732342806e-07,1.39459732342806e-07,"THBS4/COL7A1/MMRN2/COL6A1/LAMA4/NID2/COL4A4/THBS2/TIMP3/COL4A3/TNC/DLG1/ACTA2/EFEMP2/SERPINF1/COL4A6/TIMP1/EGFL6/COL16A1/LAMB2/ANG/COL13A1/MATN2/COL8A2/LOXL1",25
"GO:0042611","MHC protein complex","12/1195","25/19979",0.48,8.02503765690377,8.86481331574742,4.98880176560005e-09,4.77054168835505e-07,4.77054168835505e-07,"HLA-DQA2/HLA-DPB1/HLA-DPA1/HLA-DRB4/HLA-DRB5/HLA-DQB1/HLA-DQA1/HLA-DRA/CD74/HLA-E/HLA-DRB3/HLA-DRB1",12
"GO:0098553","lumenal side of endoplasmic reticulum membrane","14/1195","36/19979",0.388888888888889,6.50176662017666,8.33343566728124,7.62012396268372e-09,6.47710536828116e-07,6.47710536828116e-07,"HLA-DQA2/HLA-DPB1/UGT8/HLA-DPA1/HLA-DRB4/HLA-DRB5/HLA-DQB1/HLA-DQA1/HLA-DRA/CD74/HLA-E/HLA-DRB3/HLA-DRB1/ALG6",14
"GO:0031091","platelet alpha granule","22/1195","91/19979",0.241758241758242,4.04191457078486,7.33564102930398,1.34199593368584e-08,1.02662688926967e-06,1.02662688926967e-06,"SERPINE2/SERPING1/THBS1/SERPINA3/THBS2/SNCA/PDGFA/PCDH7/VEGFD/CFD/TIMP1/A2M/SELP/STXBP1/SERPINE1/CLU/PROS1/GAS6/VWF/QSOX1/LEFTY2/PECAM1",22
"GO:0009897","external side of plasma membrane","51/1195","378/19979",0.134920634920635,2.25571494985721,6.21675521860727,4.405802541101e-08,2.87280421033595e-06,2.87280421033595e-06,"IL7R/SCNN1A/LY75/S1PR1/IL4R/SPA17/LAG3/VTCN1/THBS1/NRCAM/IL11RA/FCN1/CD22/ASTN1/ENOX1/CLEC10A/DNAI2/CXCL12/CD40/GHR/TGFBR3/SLC4A3/FOLR2/FCGR2A/ITGA5/THBD/CD163/TMEM123/ST14/FCGR2B/SELP/CD74/VCAM1/SELE/FCER1A/KDR/NCAM1/CD24/ICAM1/HLA-E/ENG/FCGR2C/ALCAM/MCAM/SELL/STAB2/HLA-DRB1/CD34/PECAM1/CDH5/COLEC11",51
"GO:0043292","contractile muscle fiber","39/1195","253/19979",0.154150197628458,2.57721070997404,6.36790214354499,5.01890525207569e-08,2.87280421033595e-06,2.87280421033595e-06,"CASQ2/SYNPO/LDB3/FHL5/CRYAB/ITGB1BP2/COL6A1/SVIL/TWF1/DMD/CALD1/TPM1/MYOZ3/FLNA/SYNM/NEBL/CSRP1/TMOD3/FLNC/FHL2/PDLIM3/OBSL1/ACTC1/ACTA2/KCNJ8/PDLIM7/MMP2/ANK3/DES/TPM2/ANK2/MYL9/LMOD1/FHOD3/IDO1/PPP1R12B/PDLIM5/MYH11/PECAM1",39
"GO:0030055","cell-substrate junction","54/1195","414/19979",0.130434782608696,2.18071675459341,6.12310754978461,5.62006230655633e-08,2.87280421033595e-06,2.87280421033595e-06,"FLT1/ARHGAP26/TSPAN4/ITGA8/TLN1/ITGB8/ARPC3/FHL1/MRC2/SVIL/RHOB/TWF1/KRAS/DMD/LRP1/PDIA3/ITGA6/FLNA/RRAS/CSRP1/MME/CNN1/RPL37A/TNS1/FLNC/FHL2/ARHGAP22/KIF23/TNC/L1CAM/LIMS1/GSN/TNS2/ACTC1/NFASC/FAM107A/ANXA6/PDLIM7/ITGA5/AKAP12/ACTR2/SORBS1/LIMS2/CORO2B/TGFB1I1/CAV1/ITGBL1/CSPG4/CD44/CDC42EP1/ICAM1/ENG/ALCAM/MCAM",54
"GO:0005925","focal adhesion","53/1195","403/19979",0.13151364764268,2.19875411401933,6.13178011625671,5.67261629712656e-08,2.87280421033595e-06,2.87280421033595e-06,"FLT1/ARHGAP26/TSPAN4/ITGA8/TLN1/ITGB8/ARPC3/FHL1/MRC2/SVIL/RHOB/TWF1/KRAS/LRP1/PDIA3/ITGA6/FLNA/RRAS/CSRP1/MME/CNN1/RPL37A/TNS1/FLNC/FHL2/ARHGAP22/KIF23/TNC/L1CAM/LIMS1/GSN/TNS2/ACTC1/NFASC/FAM107A/ANXA6/PDLIM7/ITGA5/AKAP12/ACTR2/SORBS1/LIMS2/CORO2B/TGFB1I1/CAV1/ITGBL1/CSPG4/CD44/CDC42EP1/ICAM1/ENG/ALCAM/MCAM",53
"GO:0005788","endoplasmic reticulum lumen","47/1195","338/19979",0.13905325443787,2.32480750662276,6.1957694629694,5.9077359086459e-08,2.87280421033595e-06,2.87280421033595e-06,"CASQ2/RCN2/BMP4/COL11A1/COL7A1/MMRN2/SERPING1/COL6A1/CDH1/THBS1/CCN1/IGFBP5/PDIA3/NEK2/COL4A4/RNASET2/DNAJC10/COL14A1/COL4A3/SERPIND1/TNC/SCG2/C4A/PDGFA/C3/RCN3/COL4A6/TIMP1/IGFBP4/GPC3/COL10A1/COL16A1/LAMB2/COL13A1/COL6A2/APOA1/FMO1/CLU/ARSJ/COL8A2/PTGIS/GAS6/CTSZ/QSOX1/PDGFD/CES1/CHRDL1",47
"GO:0106139","symbiont cell surface","10/1195","20/19979",0.5,8.35941422594142,8.30528947273397,6.00847939416669e-08,2.87280421033595e-06,2.87280421033595e-06,"C1QA/CFH/FCN1/C4B/C4A/C3/C1R/C1QB/C1S/C2",10
"GO:0019814","immunoglobulin complex","31/1195","183/19979",0.169398907103825,2.83215126780529,6.28006396165857,1.36899676271311e-07,6.16048543220898e-06,6.16048543220898e-06,"IGLL5/IGLC7/IGKV1-39/IGLV1-44/IGKV2-24/IGHM/IGLC1/IGKV4-1/IGKV1-37/IGLC3/IGKV1-17/IGHD/IGHA2/IGKC/IGKV1D-13/IGKV1D-37/IGKV1D-39/IGKV2-28/IGLV2-14/IGLC2/IGKV1-5/IGHG3/IGLV3-19/IGHV4-31/IGHV3-23/TRDV3/IGHA1/IGLV3-25/IGHG1/IGLV4-3/IGKV2D-28",31
"GO:0000793","condensed chromosome","41/1195","291/19979",0.140893470790378,2.3555737681347,5.87536386033926,2.86443321069686e-07,1.21738411454616e-05,1.21738411454616e-05,"SPAG5/BUB1B/BIRC5/CCNB1/NEK2/SMC2/NCAPH/HMGB2/HJURP/TTK/PRP4K/MKI67/CDC20/BRCA1/NDC80/CHEK1/SPDL1/SPC25/TOP2A/CENPM/SMC4/KIF18A/TOPBP1/CENPE/BLM/NCAPG/MAD2L1/CENPF/NCAPG2/CENPA/AURKB/KIF2C/AURKA/RAD51/DYNC1I1/MTCL1/CENPN/BUB1/ZWINT/ZWILCH/CENPU",41
"GO:0098576","lumenal side of membrane","14/1195","47/19979",0.297872340425532,4.98007656013532,6.89018421260678,3.68690271191011e-07,1.4844634603217e-05,1.4844634603217e-05,"HLA-DQA2/HLA-DPB1/UGT8/HLA-DPA1/HLA-DRB4/HLA-DRB5/HLA-DQB1/HLA-DQA1/HLA-DRA/CD74/HLA-E/HLA-DRB3/HLA-DRB1/ALG6",14
"GO:0044217","other organism part","12/1195","36/19979",0.333333333333333,5.57294281729428,6.92656148632747,6.49193296540038e-07,2.48316435926565e-05,2.48316435926565e-05,"C1QA/KPNA2/CFH/FCN1/C4B/C4A/C3/C1R/C1QB/C1S/C7/C2",12
"GO:0034774","secretory granule lumen","43/1195","328/19979",0.13109756097561,2.19179763241147,5.48925024102905,1.09087880134517e-06,3.9739156334717e-05,3.9739156334717e-05,"ALDOC/SERPING1/VAT1/GCA/HSP90AA1/THBS1/SERPINA3/FCN1/RNASET2/TIMP3/HSPA6/GSN/PDGFA/RARRES2/C3/ITIH3/CTSG/VEGFD/CFD/TIMP1/ACTR2/A2M/HP/CCT2/GRP/TIMP2/SERPINE1/APOA1/CRISP3/TCN1/CLU/PROS1/SLPI/QPCT/GAS6/SPTAN1/DERA/CTSZ/VWF/QSOX1/LEFTY2/GGH/TIMP4",43
"GO:0030016","myofibril","35/1195","243/19979",0.1440329218107,2.40806171117654,5.57007669261826,1.24380726180265e-06,4.32505706945012e-05,4.32505706945012e-05,"CASQ2/SYNPO/LDB3/FHL5/CRYAB/ITGB1BP2/COL6A1/SVIL/TWF1/DMD/CALD1/TPM1/MYOZ3/FLNA/SYNM/NEBL/CSRP1/TMOD3/FLNC/FHL2/PDLIM3/OBSL1/ACTC1/KCNJ8/PDLIM7/MMP2/ANK3/DES/TPM2/ANK2/MYL9/LMOD1/FHOD3/PPP1R12B/PDLIM5",35
"GO:0060205","cytoplasmic vesicle lumen","43/1195","333/19979",0.129129129129129,2.15888775805094,5.37888599264516,1.63590194292033e-06,5.42118049087436e-05,5.42118049087436e-05,"ALDOC/SERPING1/VAT1/GCA/HSP90AA1/THBS1/SERPINA3/FCN1/RNASET2/TIMP3/HSPA6/GSN/PDGFA/RARRES2/C3/ITIH3/CTSG/VEGFD/CFD/TIMP1/ACTR2/A2M/HP/CCT2/GRP/TIMP2/SERPINE1/APOA1/CRISP3/TCN1/CLU/PROS1/SLPI/QPCT/GAS6/SPTAN1/DERA/CTSZ/VWF/QSOX1/LEFTY2/GGH/TIMP4",43
"GO:0000775","chromosome, centromeric region","36/1195","257/19979",0.140077821011673,2.34193705940771,5.46121341516593,1.71999835074237e-06,5.42118049087436e-05,5.42118049087436e-05,"OIP5/SPAG5/BUB1B/BIRC5/CCNB1/NEK2/HJURP/TTK/PRP4K/CDC20/NDC80/SPDL1/SPC25/BAZ1A/TOP2A/CENPM/SMC4/HELLS/KIF18A/CENPE/NCAPG/MAD2L1/CENPF/CENPA/AURKB/KIF2C/AURKA/PPP2R5C/DYNC1I1/MTCL1/CENPN/EZH2/BUB1/ZWINT/ZWILCH/CENPU",36
"GO:0031983","vesicle lumen","43/1195","334/19979",0.12874251497006,2.15242402224839,5.35704675303231,1.77162761139685e-06,5.42118049087436e-05,5.42118049087436e-05,"ALDOC/SERPING1/VAT1/GCA/HSP90AA1/THBS1/SERPINA3/FCN1/RNASET2/TIMP3/HSPA6/GSN/PDGFA/RARRES2/C3/ITIH3/CTSG/VEGFD/CFD/TIMP1/ACTR2/A2M/HP/CCT2/GRP/TIMP2/SERPINE1/APOA1/CRISP3/TCN1/CLU/PROS1/SLPI/QPCT/GAS6/SPTAN1/DERA/CTSZ/VWF/QSOX1/LEFTY2/GGH/TIMP4",43
"GO:0030669","clathrin-coated endocytic vesicle membrane","17/1195","76/19979",0.223684210526316,3.73973794318432,6.03562802331724,1.89947839538253e-06,5.5888498941063e-05,5.5888498941063e-05,"IL7R/HLA-DQA2/HLA-DPB1/HLA-DPA1/HLA-DRB4/HLA-DRB5/FZD5/HLA-DQB1/FZD4/HLA-DQA1/HLA-DRA/VAMP2/CD74/SH3GL2/HBEGF/HLA-DRB3/HLA-DRB1",17
"GO:0000776","kinetochore","28/1195","179/19979",0.156424581005587,2.61523573549005,5.47514659816312,2.80056750647558e-06,7.93494126834749e-05,7.93494126834749e-05,"SPAG5/BUB1B/BIRC5/CCNB1/NEK2/HJURP/TTK/PRP4K/CDC20/NDC80/SPDL1/SPC25/CENPM/KIF18A/CENPE/MAD2L1/CENPF/CENPA/AURKB/KIF2C/AURKA/DYNC1I1/MTCL1/CENPN/BUB1/ZWINT/ZWILCH/CENPU",28
"GO:0000779","condensed chromosome, centromeric region","29/1195","190/19979",0.152631578947368,2.55182118476107,5.42091340542739,3.10165685797627e-06,8.47416962982802e-05,8.47416962982802e-05,"SPAG5/BUB1B/BIRC5/CCNB1/NEK2/HJURP/TTK/PRP4K/CDC20/NDC80/SPDL1/SPC25/CENPM/KIF18A/CENPE/NCAPG/MAD2L1/CENPF/CENPA/AURKB/KIF2C/AURKA/DYNC1I1/MTCL1/CENPN/BUB1/ZWINT/ZWILCH/CENPU",29
